Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Solo Leisure,Economy Class,St Petersburg to Chicago via Helsinki,August 2019,1.0,3.0,2.0,3.0,2.0,1.0,No,finnair,St Petersburg,Chicago
Solo Leisure,Economy Class,Delhi to Toronto via Helsinki,April 2019,4.0,4.0,4.0,4.0,4.0,4.0,Yes,finnair,Delhi,Toronto
Family Leisure,Economy Class,Brussels to Tokyo via Helsinki,June 2019,2.0,2.0,2.0,1.0,1.0,2.0,No,finnair,Brussels,Tokyo
Family Leisure,Economy Class,London to Riga via Helsinki,July 2019,2.0,2.0,1.0,1.0,1.0,2.0,No,finnair,London,Riga
Family Leisure,Economy Class,Helsinki to London,August 2018,1.0,4.0,2.0,1.0,3.0,3.0,No,finnair,Helsinki,London
Business,Business Class,Hong Kong Geneva via Helsinki,January 2019,2.0,2.0,2.0,1.0,1.0,3.0,No,finnair,Hong Kong Geneva via Helsinki,Hong Kong Geneva
Couple Leisure,Business Class,Helsinki to Singapore,July 2019,3.0,3.0,3.0,3.0,4.0,4.0,Yes,finnair,Helsinki,Singapore
Solo Leisure,Business Class,Moscow to Helsinki,July 2019,3.0,5.0,4.0,1.0,4.0,4.0,Yes,finnair,Moscow,Helsinki
Solo Leisure,Business Class,Helsinki to London,July 2019,5.0,4.0,4.0,5.0,5.0,4.0,Yes,finnair,Helsinki,London
Couple Leisure,Business Class,Helsinki to Hong Kong,July 2019,2.0,1.0,3.0,3.0,2.0,1.0,No,finnair,Helsinki,Hong Kong
Business,Economy Class,Helsinki to Guangzhou,July 2019,4.0,4.0,2.0,1.0,3.0,5.0,Yes,finnair,Helsinki,Guangzhou
Business,Economy Class,Tallin to Vienna via Helsinki,August 2018,4.0,4.0,2.0,1.0,1.0,3.0,Yes,finnair,Tallin,Vienna
Solo Leisure,Business Class,Singapore to Helsinki ,July 2019,4.0,3.0,4.0,3.0,4.0,4.0,Yes,finnair,Singapore,Helsinki 
