Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Business,Economy Class,Helsinki to Warsaw ,September 2019,2.0,5.0,1.0,5.0,3.0,3.0,Recommendedno,finnair
Solo Leisure,Economy Class,Singapore to Helsinki,August 2019,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Helsinki to Lisbon,August 2019,4.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,Hong Kong to Copenhagen via Helsinki,August 2019,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Singapore to Krakow via Helsinki,August 2019,5.0,5.0,4.0,4.0,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Helsinki to Paris,August 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Chicago to Helskini via Warsaw,August 2019,3.0,3.0,4.0,1.0,1.0,3.0,Recommendedno,finnair
Couple Leisure,Business Class,Bangkok to Helsinki,August 2019,5.0,5.0,5.0,5.0,3.0,5.0,Recommendedyes,finnair
Business,Economy Class,Amsterdam to Helsinki,August 2019,3.0,3.0,3.0,,1.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,St Petersburg to Chicago via Helsinki,August 2019,1.0,3.0,2.0,3.0,2.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Delhi to Toronto via Helsinki,April 2019,4.0,4.0,4.0,4.0,4.0,4.0,Recommendedyes,finnair
Family Leisure,Economy Class,Brussels to Tokyo via Helsinki,June 2019,2.0,2.0,2.0,,1.0,2.0,Recommendedno,finnair
Family Leisure,Economy Class,London to Riga via Helsinki,July 2019,2.0,2.0,1.0,,1.0,2.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to London,August 2018,1.0,4.0,2.0,1.0,3.0,3.0,Recommendedno,finnair
Business,Business Class,Hong Kong Geneva via Helsinki,January 2019,2.0,2.0,2.0,,1.0,3.0,Recommendedno,finnair
Couple Leisure,Business Class,Helsinki to Singapore,July 2019,3.0,3.0,3.0,3.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,Moscow to Helsinki,July 2019,3.0,5.0,4.0,,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,Helsinki to London,July 2019,5.0,4.0,4.0,5.0,5.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,Helsinki to Hong Kong,July 2019,2.0,1.0,3.0,3.0,2.0,1.0,Recommendedno,finnair
Business,Economy Class,Helsinki to Guangzhou,July 2019,4.0,4.0,2.0,1.0,3.0,5.0,Recommendedyes,finnair
Business,Economy Class,Tallin to Vienna via Helsinki,August 2018,4.0,4.0,2.0,,1.0,3.0,Recommendedyes,finnair
Solo Leisure,Business Class,Singapore to Helsinki ,July 2019,4.0,3.0,4.0,3.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Oslo to Athens via Helsinki,July 2019,3.0,2.0,1.0,,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Oslo to Helsinki,July 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to New York,June 2019,3.0,1.0,2.0,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Stockholm to Helsinki,June 2019,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Helsinki to Stockholm,June 2019,3.0,5.0,5.0,,5.0,5.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Helsinki to Singapore,June 2019,3.0,1.0,3.0,2.0,2.0,3.0,Recommendedno,finnair
Solo Leisure,Economy Class,Bangkok to Brussels via Helsinki,June 2019,5.0,5.0,3.0,3.0,5.0,5.0,Recommendedyes,finnair
Couple Leisure,Business Class,Manchester to Bangkok via Helsinki,May 2019,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,Helsinki to New York,May 2019,2.0,3.0,3.0,4.0,1.0,1.0,Recommendedno,finnair
Business,Economy Class,London Heathrow to Singapore via Helsinki,May 2019,5.0,5.0,2.0,5.0,3.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Stockholm to Bangkok via Helsinki,May 2019,4.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,Bangkok to Amsterdam via Helsinki,May 2019,4.0,4.0,4.0,4.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,Helsinki Vantaa to Bangkok,May 2019,4.0,4.0,4.0,4.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Dublin to Bangkok via Helsinki,May 2019,2.0,3.0,1.0,2.0,3.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,London to Bangkok via Helsinki,August 2018,4.0,4.0,5.0,4.0,3.0,2.0,Recommendedyes,finnair
Family Leisure,Economy Class,Moscow to Chicago via Helsinki,October 2018,4.0,5.0,3.0,4.0,5.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,New York to Tokyo via Helsinki,April 2019,4.0,4.0,4.0,3.0,4.0,4.0,Recommendedyes,finnair
Couple Leisure,Business Class,London to Delhi via Helsinki,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Bangkok,April 2019,4.0,5.0,3.0,3.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,London to Hong Kong via Helsinki,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to Miami,April 2019,2.0,2.0,2.0,2.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,London to Kuusamo via Helsinki,April 2019,5.0,5.0,4.0,,5.0,5.0,Recommendedyes,finnair
Business,Economy Class,Amsterdam to Helsinki,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Business Class,Helsinki to Paris,April 2019,2.0,2.0,,,4.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Bangkok to London via Helsinki,March 2019,5.0,5.0,5.0,5.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Premium Economy,Bangkok to Milan via Helsinki,March 2019,3.0,3.0,1.0,2.0,2.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,London to Helsinki,February 2019,5.0,3.0,4.0,4.0,4.0,3.0,Recommendedyes,finnair
Business,Business Class,Geneva to Kansai via Helsinki,March 2019,4.0,5.0,4.0,3.0,4.0,4.0,Recommendedyes,finnair
Business,Business Class,Bangkok to Helsinki,February 2019,2.0,1.0,1.0,2.0,3.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Manchester to Bangkok via Helsinki,February 2019,5.0,5.0,3.0,4.0,5.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Helsinki to Paris CDG,February 2019,1.0,2.0,,,1.0,4.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Berlin ,January 2019,4.0,5.0,3.0,,5.0,4.0,Recommendedyes,finnair
