Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Couple Leisure,Economy Class,Frankfurt to Buenos Aires,June 2019,3.0,3.0,3.0,2.0,4.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,London to Hong Kong via Frankfurt ,June 2019,3.0,3.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Budapest to Oslo via Munich,June 2019,3.0,5.0,4.0,,3.0,3.0,Recommendedyes,lufthansa
Business,Business Class,Frankfurt to Amsterdam,June 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Brussels to Seoul via Munich,May 2019,1.0,4.0,1.0,1.0,2.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Munich to Nantes,June 2019,,,,,2.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Dublin to Johannesburg via Frankfurt,June 2019,3.0,3.0,3.0,3.0,3.0,1.0,Recommendedno,lufthansa
Couple Leisure,Premium Economy,Singapore to Frankfurt,May 2019,4.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Premium Economy,Washington to Frankfurt,May 2019,4.0,4.0,4.0,4.0,3.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Tampa to Frankfurt,April 2019,1.0,1.0,2.0,2.0,1.0,1.0,Recommendedno,lufthansa
Business,Premium Economy,Singapore to Frankfurt,May 2019,4.0,5.0,5.0,2.0,5.0,3.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Frankfurt to Chennai,May 2019,4.0,5.0,5.0,4.0,5.0,5.0,Recommendedyes,lufthansa
Business,Business Class,Barcelona to Istanbul via Frankfurt,May 2019,1.0,4.0,3.0,,2.0,3.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Munich to Berlin,May 2019,3.0,3.0,,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Bangkok,May 2019,1.0,1.0,1.0,4.0,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Business Class,Panama City to Frankfurt,April 2019,4.0,5.0,5.0,5.0,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Boston to Dubai via Frankfurt,May 2019,1.0,,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Lyon to Dusseldorf via Munich,May 2019,4.0,5.0,4.0,,1.0,4.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Hamburg to Istanbul via Frankfurt,May 2019,4.0,5.0,4.0,,4.0,4.0,Recommendedyes,lufthansa
Family Leisure,Business Class,Frankfurt to Rio de Janeiro,April 2019,5.0,5.0,5.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Munich to Stockholm,May 2019,1.0,,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Business Class,Moscow to Frankfurt,April 2019,2.0,4.0,5.0,3.0,4.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Munich to Mumbai,May 2019,3.0,5.0,5.0,5.0,5.0,4.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Dallas to Istanbul via Frankfurt ,April 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Paris CDG to San Diego via Frankfurt,May 2019,1.0,4.0,3.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Landvetter to Milan via Frankfurt,May 2019,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Premium Economy,Bangkok to Luxembourg via Munich,May 2019,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Vilnius to Singapore via Frankfurt,May 2019,4.0,5.0,3.0,1.0,4.0,3.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Frankfurt to Kiev,April 2019,2.0,1.0,1.0,1.0,2.0,3.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Munich to Madrid ,April 2019,4.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Prague to Frankfurt,April 2019,4.0,4.0,4.0,,1.0,3.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Frankfurt to Valencia,April 2019,1.0,4.0,4.0,,2.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,London to Vienna via Frankfurt,April 2019,4.0,3.0,4.0,,5.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,Munich to San Francisco,March 2019,1.0,4.0,2.0,1.0,1.0,2.0,Recommendedno,lufthansa
Business,Economy Class,San Francisco to Frankfurt,April 2019,2.0,3.0,,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Rome to Mumbai via Frankfurt,April 2019,3.0,3.0,3.0,3.0,3.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Copenhagen to Washington via Frankfurt ,April 2019,1.0,1.0,3.0,1.0,1.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Dublin to Cape Town via Frankfurt,March 2019,4.0,5.0,4.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Prague to Frankfurt,April 2019,3.0,4.0,2.0,3.0,1.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Jeddah to Frankfurt,April 2019,1.0,1.0,,,4.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to Bangkok,April 2019,4.0,4.0,3.0,2.0,3.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Seoul to Manchester via Frankfurt,March 2019,2.0,4.0,1.0,4.0,3.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Business Class,Rio de Janeiro to Frankfurt,April 2019,2.0,2.0,3.0,5.0,4.0,3.0,Recommendedno,lufthansa
Business,Economy Class,Frankfurt to Valencia,April 2019,4.0,5.0,3.0,4.0,4.0,3.0,Recommendedno,lufthansa
Business,Premium Economy,Bangkok to Frankfurt,March 2019,3.0,3.0,3.0,4.0,4.0,2.0,Recommendedyes,lufthansa
Business,Economy Class,Denver to Milan via Munich,March 2019,3.0,4.0,3.0,2.0,2.0,3.0,Recommendedyes,lufthansa
Business,Premium Economy,Frankfurt to Bengaluru,January 2019,2.0,3.0,1.0,1.0,4.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Incheon to Basel via Munich,January 2019,3.0,1.0,4.0,5.0,2.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Munich to Delhi,March 2019,3.0,3.0,4.0,4.0,3.0,3.0,Recommendedyes,lufthansa
Business,Business Class,Frankfurt to Detroit,March 2019,3.0,4.0,2.0,4.0,3.0,3.0,Recommendedno,lufthansa
Business,Premium Economy,Bangalore to Keflavik via Frankfurt,March 2019,3.0,3.0,2.0,3.0,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Venice to Dusseldorf via Frankfurt,March 2019,4.0,4.0,4.0,,3.0,4.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Amman to Frankfurt,March 2019,1.0,2.0,1.0,,2.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to Beijing,March 2019,2.0,3.0,2.0,1.0,4.0,2.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Frankfurt to Istanbul,July 2018,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Birmingham to Bangkok via Frankfurt,February 2019,4.0,5.0,5.0,4.0,2.0,5.0,Recommendedyes,lufthansa
Business,Premium Economy,Frankfurt to Bahrain,February 2019,4.0,3.0,3.0,3.0,3.0,5.0,Recommendedyes,lufthansa
Business,Business Class,London to Frankfurt,February 2019,4.0,3.0,4.0,,3.0,3.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Vienna to Frankfurt ,January 2019,4.0,5.0,4.0,,2.0,4.0,Recommendedyes,lufthansa
Family Leisure,Business Class,Manchester to Seoul via Munich,February 2019,2.0,3.0,2.0,2.0,3.0,4.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Miami to Munich,February 2019,3.0,5.0,2.0,1.0,2.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Barcelona to Munich,February 2019,1.0,3.0,2.0,,1.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Warsaw to Nairobi via Frankfurt,February 2019,5.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Business Class,Bangkok to London via Frankfurt,January 2019,5.0,3.0,5.0,5.0,3.0,5.0,Recommendedyes,lufthansa
Business,Business Class,Munich to Miami,February 2019,3.0,5.0,5.0,4.0,4.0,3.0,Recommendedyes,lufthansa
Family Leisure,Business Class,Seoul to Manchester via Frankfurt,February 2019,1.0,2.0,2.0,2.0,3.0,3.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Nairobi,February 2019,2.0,3.0,,3.0,1.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Dallas to Amman via Frankfurt,January 2019,5.0,5.0,4.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Business,Business Class,Luanda to Rome via Frankfurt,February 2019,2.0,1.0,1.0,2.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Timisoara to London via Munich,January 2019,4.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Business Class,Frankfurt to San Diego,January 2019,4.0,1.0,4.0,3.0,4.0,3.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Krakow to Frankfurt,January 2019,4.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Business Class,Munich to Chicago,January 2019,4.0,4.0,4.0,3.0,1.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to Delhi,January 2019,2.0,1.0,3.0,2.0,2.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Belgrade to Barcelona via Munich,January 2019,3.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Premium Economy,Munich to Newark,January 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Berlin-Tegel to Munich,November 2018,4.0,3.0,4.0,,3.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Premium Economy,New York to Tehran via Frankfurt,December 2018,3.0,3.0,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to Dublin,January 2019,5.0,5.0,5.0,,1.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Sao Paulo to Dublin via Frankfurt,January 2019,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Denver to Munich,January 2019,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Paris to Tbilisi via Munich,December 2018,5.0,5.0,5.0,,4.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Leipzig to Frankfurt,January 2019,2.0,3.0,4.0,,3.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Frankfurt to Denver,January 2019,2.0,1.0,2.0,4.0,2.0,2.0,Recommendedno,lufthansa
Business,Business Class,Amman to Frankfurt,December 2018,1.0,1.0,2.0,,3.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Toronto to Naples via Frankfurt,November 2018,4.0,5.0,4.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Munich to Prague,December 2018,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Berlin to Munich ,December 2018,1.0,,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Dublin to Frankfurt,December 2018,2.0,1.0,1.0,,3.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,London to Munich,December 2018,,,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to Amsterdam,December 2018,1.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,London to Munich,December 2018,1.0,1.0,2.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Chicago to Belgrade via Frankfurt,October 2018,4.0,4.0,4.0,4.0,1.0,2.0,Recommendedyes,lufthansa
Business,Premium Economy,Gdańsk to New York via Frankfurt,December 2018,4.0,3.0,3.0,3.0,3.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Tel Aviv to Munich ,November 2018,4.0,5.0,5.0,,4.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Tokyo to Munich,December 2018,5.0,4.0,4.0,5.0,4.0,5.0,Recommendedyes,lufthansa
Business,Business Class,Boston to Frankfurt,July 2018,3.0,5.0,4.0,3.0,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Hanover to Barcelona via Frankfurt,November 2018,3.0,5.0,3.0,1.0,4.0,3.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Pula to Toronto via Frankfurt,September 2018,3.0,1.0,1.0,2.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Toulouse to Munich,November 2018,3.0,3.0,3.0,1.0,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Frankfurt to Los Angeles,November 2018,1.0,4.0,1.0,2.0,3.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class, Paris to Bogota via Frankfurt,November 2018,3.0,5.0,3.0,5.0,5.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,London to Frankfurt,May 2018,3.0,1.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Berlin to Lisbon via Frankfurt,November 2018,5.0,5.0,5.0,,5.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,Frankfurt to Berlin,November 2018,4.0,5.0,4.0,,5.0,4.0,Recommendedyes,lufthansa
Family Leisure,Premium Economy,San Francisco to Munich,November 2018,3.0,4.0,2.0,3.0,2.0,2.0,Recommendedyes,lufthansa
Solo Leisure,Business Class,Frankfurt to Miami,November 2018,5.0,5.0,,,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Frankfurt to London,November 2018,,,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to Sofia,November 2018,1.0,3.0,1.0,,1.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Munich to Dublin,November 2018,5.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Copenhagen to Houston via Frankfurt,November 2018,4.0,5.0,4.0,4.0,4.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Cairo to Atlanta via Frankfurt,September 2018,1.0,2.0,1.0,2.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Tunis to Kiev via Frankfurt,June 2017,3.0,5.0,4.0,,1.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Brussels to Munich,October 2018,3.0,4.0,4.0,,4.0,3.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Newark to Munich,November 2018,4.0,1.0,2.0,2.0,5.0,3.0,Recommendedno,lufthansa
Business,Business Class,Frankfurt to Port Harcourt via Abuja,September 2018,4.0,5.0,2.0,5.0,5.0,4.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Newark to Chennai via Frankfurt,November 2018,4.0,4.0,,,1.0,3.0,Recommendedno,lufthansa
Business,Premium Economy,Hanover to Beijing via Munich,October 2018,3.0,4.0,1.0,2.0,1.0,3.0,Recommendedno,lufthansa
Business,Economy Class,Beijing to Lisbon via Munich,October 2018,4.0,4.0,5.0,3.0,3.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Paris to Tbilisi via Munich,October 2018,5.0,5.0,5.0,,4.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Business Class,Munich to Toronto ,October 2018,4.0,5.0,5.0,3.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Amsterdam to Frankfurt,September 2018,2.0,3.0,3.0,1.0,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Frankfurt to Beijing,October 2018,4.0,4.0,4.0,3.0,4.0,4.0,Recommendedyes,lufthansa
Business,Business Class,San Diego to Vienna via Frankfurt,October 2018,1.0,5.0,5.0,4.0,5.0,4.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Manchester to Naples via Munich,October 2018,4.0,5.0,4.0,,4.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Business Class,Munich to Vancouver,September 2018,5.0,5.0,4.0,5.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Berlin to Frankfurt,June 2018,,,,,1.0,1.0,Recommendedno,lufthansa
Business,Business Class,Frankfurt to Delhi,October 2018,1.0,2.0,5.0,3.0,5.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Paris to Frankfurt,September 2018,1.0,,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Toronto to Sofia via Frankfurt,October 2018,4.0,4.0,,,4.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Milan to Frankfurt,October 2018,1.0,5.0,3.0,,4.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Munich to Vancouver,October 2018,1.0,4.0,5.0,5.0,4.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Budapest to Frankfurt,October 2018,4.0,1.0,,,4.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Frankfurt to Boston,October 2018,3.0,3.0,3.0,2.0,4.0,3.0,Recommendedno,lufthansa
Business,Economy Class,Tallinn to Zagreb via Frankfurt,October 2018,,,,,,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Luxemburg to Frankfurt,October 2018,2.0,1.0,,,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,"Frankfurt to Washington, D.C. ",October 2018,4.0,4.0,4.0,4.0,4.0,3.0,Recommendedyes,lufthansa
Business,Economy Class,Athens to Frankfurt,October 2018,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,San Jose to Tehran via Frankfurt,June 2018,3.0,3.0,3.0,4.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Munich to Lamezia Terme,September 2018,1.0,3.0,2.0,,4.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Beirut to Frankfurt,September 2018,3.0,5.0,4.0,2.0,2.0,3.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Dublin to Frankfurt,September 2018,3.0,3.0,3.0,,3.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Casablanca to Mexico City via Frankfurt,August 2018,4.0,4.0,4.0,4.0,1.0,5.0,Recommendedno,lufthansa
Couple Leisure,Business Class,San Francisco to Mumbai via Frankfurt,September 2018,1.0,5.0,1.0,3.0,4.0,2.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Denver,September 2018,3.0,5.0,1.0,5.0,5.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Warsaw to Singapore via Frankfurt,September 2018,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Frankfurt to Cape Town,September 2018,1.0,2.0,3.0,5.0,1.0,1.0,Recommendedno,lufthansa
Business,Economy Class,Helsinki to Brussels via Frankfurt,September 2018,3.0,2.0,2.0,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Frankfurt to Kiev,September 2018,5.0,5.0,4.0,,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Montreal to Moscow via Munich,January 2018,4.0,4.0,3.0,,1.0,4.0,Recommendedno,lufthansa
Solo Leisure,First Class,Miami to Frankfurt,June 2018,5.0,2.0,5.0,1.0,1.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Houston to Frankfurt,September 2018,3.0,3.0,2.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Geneva to Olbia via Frankfurt,September 2018,3.0,4.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,Chennai to Frankfurt,August 2018,4.0,4.0,4.0,4.0,4.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,"Timișoara to Denver via  Munich, Washington",August 2018,3.0,4.0,4.0,5.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Newark to Kiev Boryspil/Vienna via Frankfurt,August 2018,3.0,4.0,3.0,3.0,2.0,3.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Newark to Tel Aviv via Munich,August 2018,1.0,1.0,1.0,,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Orlando to Frankfurt,August 2018,1.0,3.0,4.0,4.0,1.0,3.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,San Jose to Munich via Frankfurt,July 2018,3.0,4.0,1.0,3.0,5.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Belgrade to Brussels via Munich,August 2018,5.0,5.0,4.0,2.0,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Los Angeles to Munich,August 2018,1.0,1.0,1.0,,1.0,2.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Belgrade to Brussels via Munich,August 2018,5.0,5.0,3.0,1.0,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Chicago to Munich,August 2018,1.0,2.0,1.0,2.0,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Lyon to Philadelphia via Frankfurt,July 2018,3.0,3.0,3.0,3.0,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Seoul to Oslo via Munich,July 2018,3.0,5.0,4.0,4.0,5.0,4.0,Recommendedyes,lufthansa
Business,Economy Class,Berlin to Bangkok via Munich,August 2018,3.0,1.0,1.0,1.0,4.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,London to Zagreb via Frankfurt,August 2018,3.0,4.0,3.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Florence to Bangkok via Frankfurt,August 2018,4.0,5.0,3.0,4.0,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Frankfurt to Keflavik,August 2018,1.0,1.0,1.0,1.0,2.0,2.0,Recommendedno,lufthansa
Business,Economy Class,Berlin to Munich,August 2018,3.0,5.0,4.0,,1.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Munich to Toronto via Frankfurt,August 2018,5.0,5.0,5.0,5.0,4.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,New York to Stockholm via Munich,August 2018,3.0,5.0,4.0,5.0,1.0,2.0,Recommendedno,lufthansa
Business,Business Class,Dublin to Frankfurt,August 2018,3.0,2.0,4.0,,1.0,3.0,Recommendedno,lufthansa
Business,Business Class,Beijing to Munich ,August 2018,4.0,5.0,4.0,4.0,3.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Malta to London via Frankfurt,August 2018,3.0,5.0,2.0,,3.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Luxembourg to Frankfurt,August 2018,3.0,3.0,,,1.0,1.0,Recommendedno,lufthansa
Family Leisure,Economy Class,Münster/Osnabrück to Kraków via Frankfurt,August 2018,4.0,3.0,5.0,,4.0,4.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Lyon to Munich,June 2018,3.0,3.0,3.0,3.0,1.0,1.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Frankfurt to Bogota,July 2018,3.0,3.0,3.0,3.0,1.0,3.0,Recommendedno,lufthansa
Couple Leisure,Economy Class,Augsburg to Munich via Frankfurt,August 2018,2.0,2.0,2.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Toulouse to Bangkok via Frankfurt,December 2017,,,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Frankfurt to San Diego,August 2018,4.0,4.0,4.0,3.0,3.0,5.0,Recommendedyes,lufthansa
Solo Leisure,Premium Economy,San Diego to Frankfurt,July 2018,3.0,3.0,1.0,2.0,3.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Toronto to Poznan via Frankfurt,August 2018,1.0,2.0,2.0,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Economy Class,Porto to Frankfurt,July 2018,5.0,5.0,4.0,3.0,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Seattle to Amsterdam via Frankfurt,August 2018,1.0,3.0,1.0,4.0,2.0,2.0,Recommendedno,lufthansa
Couple Leisure,Business Class,Frankfurt to Bologna,June 2018,3.0,5.0,4.0,,5.0,5.0,Recommendedyes,lufthansa
Couple Leisure,Economy Class,Marseille to Malta via Frankfurt,July 2018,3.0,5.0,2.0,,5.0,5.0,Recommendedyes,lufthansa
Family Leisure,Economy Class,Kraków to Munich,August 2018,,,,,1.0,1.0,Recommendedno,lufthansa
Solo Leisure,Business Class,London to Frankfurt,July 2018,4.0,5.0,5.0,,5.0,5.0,Recommendedyes,lufthansa
Business,Economy Class,Hong Kong to Munich,July 2018,4.0,5.0,4.0,4.0,3.0,4.0,Recommendedyes,lufthansa
Solo Leisure,Economy Class,Basel to Split via Munich,July 2018,4.0,1.0,2.0,2.0,1.0,2.0,Recommendedno,lufthansa
Business,Premium Economy,Delhi to London via Munich,July 2018,3.0,3.0,4.0,3.0,4.0,4.0,Recommendedyes,lufthansa
